,location,total_sqft,bath,price,bhk
50,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4.0
51,5th Block Hbr Layout,1206.0,2.0,56.0,2.0
52,5th Block Hbr Layout,1270.0,2.0,70.0,3.0
53,5th Block Hbr Layout,1312.0,2.0,69.0,2.0
54,5th Block Hbr Layout,1100.0,2.0,48.0,2.0
55,5th Block Hbr Layout,3600.0,5.0,130.0,5.0
56,5th Block Hbr Layout,5100.0,5.0,300.0,6.0
57,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
58,5th Phase JP Nagar,1150.0,3.0,52.5,2.0
59,5th Phase JP Nagar,1070.0,2.0,39.0,2.0
60,5th Phase JP Nagar,1256.0,2.0,62.8,2.0
61,5th Phase JP Nagar,1207.0,2.0,63.0,2.0
62,5th Phase JP Nagar,1725.0,2.0,100.0,3.0
63,5th Phase JP Nagar,1440.0,2.0,60.0,2.0
64,5th Phase JP Nagar,1400.0,2.0,88.0,3.0
65,5th Phase JP Nagar,1450.0,2.0,58.0,2.0
66,5th Phase JP Nagar,1700.0,2.0,100.0,3.0
68,5th Phase JP Nagar,2500.0,5.0,110.0,5.0
69,5th Phase JP Nagar,600.0,1.0,30.0,1.0
70,5th Phase JP Nagar,1390.0,2.0,65.0,2.0
71,5th Phase JP Nagar,1256.0,2.0,62.8,2.0
72,5th Phase JP Nagar,1000.0,2.0,48.0,2.0
73,5th Phase JP Nagar,1350.0,2.0,75.0,3.0
74,5th Phase JP Nagar,552.0,1.0,23.5,1.0
75,5th Phase JP Nagar,1200.0,2.0,51.0,2.0
79,5th Phase JP Nagar,1030.0,2.0,57.0,2.0
80,5th Phase JP Nagar,1200.0,2.0,68.0,2.0
81,5th Phase JP Nagar,1190.0,2.0,61.8,2.0
82,5th Phase JP Nagar,4000.0,5.0,170.0,5.0
83,5th Phase JP Nagar,1080.0,2.0,53.0,2.0
84,5th Phase JP Nagar,1041.0,2.0,54.0,2.0
85,5th Phase JP Nagar,812.0,2.0,42.0,2.0
86,5th Phase JP Nagar,1010.0,2.0,57.0,2.0
87,5th Phase JP Nagar,1450.0,2.0,73.0,3.0
88,5th Phase JP Nagar,2500.0,8.0,95.0,7.0
89,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
90,6th Phase JP Nagar,1192.0,2.0,74.0,2.0
91,6th Phase JP Nagar,1180.0,2.0,80.0,2.0
92,6th Phase JP Nagar,3245.0,4.0,250.0,4.0
94,6th Phase JP Nagar,1280.0,2.0,56.0,2.0
95,6th Phase JP Nagar,1140.0,2.0,65.0,2.0
96,6th Phase JP Nagar,600.0,1.0,75.0,1.0
97,6th Phase JP Nagar,2040.0,3.0,200.0,3.0
98,6th Phase JP Nagar,1213.0,2.0,63.0,2.0
100,6th Phase JP Nagar,1170.0,2.0,120.0,2.0
101,6th Phase JP Nagar,1216.0,2.0,60.0,2.0
102,6th Phase JP Nagar,1460.0,2.0,80.0,2.0
103,6th Phase JP Nagar,2003.0,3.0,200.0,3.0
105,6th Phase JP Nagar,1810.0,3.0,131.0,3.0
106,6th Phase JP Nagar,1515.0,2.0,135.0,3.0
107,6th Phase JP Nagar,1192.0,2.0,75.0,2.0
108,6th Phase JP Nagar,1280.0,2.0,88.0,2.0
109,7th Phase JP Nagar,1000.0,2.0,38.0,2.0
110,7th Phase JP Nagar,1080.0,2.0,72.0,2.0
111,7th Phase JP Nagar,1270.0,2.0,93.0,2.0
112,7th Phase JP Nagar,1420.0,2.0,100.0,3.0
113,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
114,7th Phase JP Nagar,1245.0,2.0,94.0,2.0
115,7th Phase JP Nagar,1175.0,2.0,82.0,2.0
116,7th Phase JP Nagar,1400.0,2.0,95.0,3.0
117,7th Phase JP Nagar,2225.0,3.0,160.0,3.0
118,7th Phase JP Nagar,1050.0,2.0,71.0,2.0
119,7th Phase JP Nagar,1100.0,2.0,46.0,2.0
120,7th Phase JP Nagar,918.0,2.0,50.49,2.0
121,7th Phase JP Nagar,1450.0,2.0,100.0,3.0
122,7th Phase JP Nagar,1040.0,2.0,39.52,2.0
123,7th Phase JP Nagar,1070.0,2.0,42.79,2.0
124,7th Phase JP Nagar,1190.0,2.0,49.98,2.0
125,7th Phase JP Nagar,1420.0,2.0,96.0,3.0
126,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
127,7th Phase JP Nagar,1050.0,2.0,42.0,2.0
128,7th Phase JP Nagar,980.0,2.0,69.0,2.0
129,7th Phase JP Nagar,1035.0,2.0,41.39,2.0
130,7th Phase JP Nagar,1370.0,2.0,56.17,2.0
131,7th Phase JP Nagar,1180.0,2.0,72.0,2.0
132,7th Phase JP Nagar,5080.0,7.0,450.0,6.0
137,7th Phase JP Nagar,1400.0,3.0,115.0,3.0
138,7th Phase JP Nagar,1075.0,2.0,42.99,2.0
139,7th Phase JP Nagar,1100.0,2.0,44.0,2.0
140,7th Phase JP Nagar,1270.0,2.0,83.0,2.0
142,7th Phase JP Nagar,2503.0,4.0,188.0,4.0
143,7th Phase JP Nagar,2200.0,3.0,190.0,3.0
144,7th Phase JP Nagar,1035.0,2.0,39.33,2.0
146,7th Phase JP Nagar,1050.0,2.0,42.0,2.0
148,7th Phase JP Nagar,1575.0,2.0,110.0,3.0
149,7th Phase JP Nagar,1850.0,3.0,140.0,3.0
152,7th Phase JP Nagar,4800.0,7.0,170.0,7.0
154,7th Phase JP Nagar,1575.0,2.0,120.0,3.0
155,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
156,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
157,7th Phase JP Nagar,1212.0,3.0,42.0,2.0
158,7th Phase JP Nagar,1175.0,2.0,82.5,2.0
161,7th Phase JP Nagar,1215.0,2.0,90.0,2.0
162,7th Phase JP Nagar,1050.0,2.0,75.0,2.0
163,7th Phase JP Nagar,1300.0,3.0,89.13,3.0
164,7th Phase JP Nagar,1130.0,2.0,73.0,2.0
165,7th Phase JP Nagar,1450.0,3.0,100.0,3.0
167,7th Phase JP Nagar,1050.0,2.0,50.0,2.0
168,7th Phase JP Nagar,1275.0,2.0,87.0,2.0
170,7th Phase JP Nagar,1650.0,3.0,110.0,3.0
171,7th Phase JP Nagar,850.0,2.0,42.0,2.0
172,7th Phase JP Nagar,1680.0,3.0,117.0,3.0
173,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
174,7th Phase JP Nagar,1236.0,2.0,61.33,2.0
175,7th Phase JP Nagar,1000.0,2.0,53.0,2.0
176,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
177,7th Phase JP Nagar,1675.0,2.0,135.0,3.0
178,7th Phase JP Nagar,1035.0,2.0,39.33,2.0
179,7th Phase JP Nagar,1187.0,2.0,59.0,2.0
180,7th Phase JP Nagar,1850.0,3.0,155.0,3.0
181,7th Phase JP Nagar,1000.0,2.0,61.0,2.0
182,7th Phase JP Nagar,1460.0,2.0,100.0,3.0
183,7th Phase JP Nagar,1650.0,3.0,110.0,3.0
184,7th Phase JP Nagar,1200.0,2.0,62.5,2.0
185,7th Phase JP Nagar,1000.0,2.0,70.65,2.0
186,7th Phase JP Nagar,1070.0,2.0,42.0,2.0
187,7th Phase JP Nagar,1080.0,2.0,75.0,2.0
188,7th Phase JP Nagar,2100.0,3.0,200.0,3.0
190,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
191,7th Phase JP Nagar,1040.0,2.0,41.59,2.0
192,7th Phase JP Nagar,1100.0,2.0,44.0,2.0
193,7th Phase JP Nagar,1460.0,2.0,97.0,3.0
194,7th Phase JP Nagar,1120.0,2.0,65.0,2.0
195,7th Phase JP Nagar,1100.0,3.0,60.0,2.0
196,7th Phase JP Nagar,1790.0,3.0,120.0,3.0
197,7th Phase JP Nagar,1680.0,3.0,117.0,3.0
198,7th Phase JP Nagar,1050.0,2.0,77.0,2.0
199,7th Phase JP Nagar,1174.0,2.0,47.0,2.0
200,7th Phase JP Nagar,1050.0,2.0,75.0,2.0
201,7th Phase JP Nagar,1040.0,2.0,75.0,2.0
202,7th Phase JP Nagar,1400.0,2.0,95.0,3.0
203,7th Phase JP Nagar,1800.0,3.0,130.0,3.0
204,7th Phase JP Nagar,1050.0,2.0,68.0,2.0
206,7th Phase JP Nagar,1000.0,2.0,60.0,2.0
207,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
208,7th Phase JP Nagar,980.0,2.0,86.0,2.0
210,7th Phase JP Nagar,1050.0,2.0,77.47,2.0
211,7th Phase JP Nagar,1270.0,2.0,80.0,2.0
213,7th Phase JP Nagar,1680.0,3.0,122.0,3.0
214,7th Phase JP Nagar,1070.0,2.0,42.79,2.0
215,7th Phase JP Nagar,1130.0,2.0,85.0,2.0
216,7th Phase JP Nagar,1680.0,3.0,130.0,3.0
219,7th Phase JP Nagar,2980.0,4.0,260.0,3.0
220,7th Phase JP Nagar,980.0,2.0,77.44,2.0
221,7th Phase JP Nagar,1680.0,3.0,112.0,3.0
223,7th Phase JP Nagar,2095.0,3.0,150.0,3.0
225,7th Phase JP Nagar,3200.0,4.0,350.0,4.0
226,7th Phase JP Nagar,1976.0,3.0,145.0,3.0
227,7th Phase JP Nagar,1600.0,2.0,110.0,3.0
228,7th Phase JP Nagar,1765.0,3.0,118.0,3.0
229,7th Phase JP Nagar,1275.0,2.0,88.0,3.0
230,7th Phase JP Nagar,1450.0,2.0,102.0,3.0
231,7th Phase JP Nagar,1035.0,2.0,39.33,2.0
232,7th Phase JP Nagar,1575.0,2.0,110.0,3.0
233,7th Phase JP Nagar,2100.0,3.0,200.0,3.0
235,7th Phase JP Nagar,750.0,1.0,47.0,1.0
236,7th Phase JP Nagar,1050.0,2.0,42.0,2.0
237,7th Phase JP Nagar,990.0,2.0,50.0,2.0
238,7th Phase JP Nagar,1000.0,1.0,60.0,1.0
240,7th Phase JP Nagar,1100.0,2.0,44.0,2.0
241,7th Phase JP Nagar,1430.0,2.0,102.0,3.0
242,7th Phase JP Nagar,1128.0,2.0,60.0,2.0
243,7th Phase JP Nagar,2100.0,3.0,190.0,3.0
244,7th Phase JP Nagar,1140.0,2.0,57.0,2.0
245,7th Phase JP Nagar,1420.0,3.0,90.0,3.0
246,7th Phase JP Nagar,1530.0,2.0,108.0,2.0
247,8th Phase JP Nagar,1594.5,2.0,54.005,2.0
248,8th Phase JP Nagar,451.0,1.0,29.9,1.0
250,8th Phase JP Nagar,1062.0,2.0,42.47,2.0
251,8th Phase JP Nagar,1200.0,4.0,145.0,4.0
253,8th Phase JP Nagar,1455.0,3.0,73.31,3.0
254,8th Phase JP Nagar,871.0,2.0,55.0,2.0
255,8th Phase JP Nagar,1098.0,2.0,43.91,2.0
256,8th Phase JP Nagar,1800.0,3.0,80.0,3.0
257,8th Phase JP Nagar,2700.0,4.0,130.0,4.0
258,8th Phase JP Nagar,1080.0,2.0,38.0,2.0
259,8th Phase JP Nagar,1059.0,2.0,34.5,2.0
260,8th Phase JP Nagar,1080.0,2.0,35.0,2.0
262,8th Phase JP Nagar,1062.0,2.0,42.47,2.0
263,8th Phase JP Nagar,500.0,1.0,31.0,1.0
264,8th Phase JP Nagar,1100.0,2.0,35.0,2.0
265,8th Phase JP Nagar,2100.0,4.0,92.0,4.0
266,8th Phase JP Nagar,1035.0,2.0,39.33,2.0
267,8th Phase JP Nagar,909.0,2.0,40.9,2.0
269,8th Phase JP Nagar,1900.0,4.0,90.0,3.0
270,8th Phase JP Nagar,1200.0,4.0,140.0,4.0
271,8th Phase JP Nagar,500.0,1.0,30.0,1.0
272,8th Phase JP Nagar,1125.0,2.0,36.94,2.0
273,8th Phase JP Nagar,1200.0,3.0,110.0,4.0
274,8th Phase JP Nagar,1100.0,2.0,35.0,2.0
275,8th Phase JP Nagar,1089.0,2.0,43.55,2.0
277,8th Phase JP Nagar,1504.0,2.0,83.0,3.0
278,8th Phase JP Nagar,2600.0,4.0,115.0,4.0
280,8th Phase JP Nagar,1089.0,2.0,43.55,2.0
282,8th Phase JP Nagar,1513.0,2.0,62.0,2.0
283,8th Phase JP Nagar,1298.0,2.0,59.0,2.0
284,8th Phase JP Nagar,1006.0,2.0,44.0,2.0
285,8th Phase JP Nagar,500.0,1.0,33.0,1.0
286,8th Phase JP Nagar,1160.0,2.0,95.0,2.0
287,8th Phase JP Nagar,1245.0,2.0,59.0,2.0
288,8th Phase JP Nagar,1510.0,2.0,80.0,2.0
289,8th Phase JP Nagar,3300.0,3.0,165.0,3.0
293,8th Phase JP Nagar,1046.0,2.0,48.0,2.0
295,8th Phase JP Nagar,1408.0,3.0,80.0,3.0
297,9th Phase JP Nagar,1005.0,2.0,50.0,2.0
299,9th Phase JP Nagar,1100.0,2.0,65.0,2.0
300,9th Phase JP Nagar,1080.0,2.0,37.0,2.0
301,9th Phase JP Nagar,1035.0,2.0,45.0,2.0
302,9th Phase JP Nagar,5000.0,4.0,290.0,4.0
303,9th Phase JP Nagar,1164.0,2.0,56.0,2.0
304,9th Phase JP Nagar,1005.0,2.0,42.0,2.0
305,9th Phase JP Nagar,3500.0,4.0,300.0,4.0
306,9th Phase JP Nagar,1127.0,2.0,50.0,2.0
307,9th Phase JP Nagar,1005.0,2.0,43.0,2.0
308,9th Phase JP Nagar,835.0,2.0,37.0,2.0
309,9th Phase JP Nagar,1050.0,2.0,39.0,2.0
310,9th Phase JP Nagar,660.0,2.0,27.0,2.0
311,9th Phase JP Nagar,600.0,1.0,20.0,1.0
312,9th Phase JP Nagar,1466.0,2.0,71.0,2.0
313,9th Phase JP Nagar,1890.0,2.0,93.0,3.0
314,9th Phase JP Nagar,1079.0,2.0,60.0,2.0
315,9th Phase JP Nagar,1480.0,2.0,80.0,2.0
316,9th Phase JP Nagar,1200.0,2.0,80.0,2.0
317,9th Phase JP Nagar,905.0,2.0,32.0,2.0
318,9th Phase JP Nagar,1073.0,2.0,52.36,2.0
319,9th Phase JP Nagar,1719.3,2.0,88.0,3.0
320,9th Phase JP Nagar,1780.0,3.0,88.0,3.0
322,9th Phase JP Nagar,1522.0,3.0,90.0,3.0
325,9th Phase JP Nagar,890.0,2.0,45.0,2.0
327,9th Phase JP Nagar,5000.0,4.0,300.0,4.0
329,9th Phase JP Nagar,1050.0,2.0,35.0,2.0
330,9th Phase JP Nagar,1331.95,2.0,69.0,2.0
331,AECS Layout,1100.0,2.0,45.0,2.0
332,AECS Layout,1620.0,3.0,98.0,3.0
333,AECS Layout,1028.0,2.0,42.0,2.0
334,AECS Layout,1199.0,2.0,65.0,2.0
335,AECS Layout,1080.0,2.0,55.0,2.0
337,AECS Layout,1045.0,2.0,36.58,2.0
338,AECS Layout,1123.0,2.0,64.0,2.0
339,AECS Layout,1308.0,2.0,60.0,2.0
340,AECS Layout,1135.0,2.0,68.0,2.0
341,AECS Layout,1005.0,2.0,55.0,2.0
343,Abbigere,985.0,2.0,40.39,2.0
344,Abbigere,2200.0,6.0,68.0,6.0
345,Abbigere,765.0,2.0,30.0,1.0
346,Abbigere,880.0,2.0,35.0,2.0
347,Abbigere,795.0,2.0,32.54,2.0
348,Abbigere,1005.0,2.0,39.59,2.0
349,Abbigere,734.0,1.0,19.82,1.0
351,Abbigere,1020.0,2.0,41.82,2.0
354,Abbigere,985.0,2.0,40.39,2.0
355,Abbigere,2500.0,6.0,81.0,6.0
356,Abbigere,795.0,2.0,32.54,2.0
357,Abbigere,1130.0,2.0,46.33,2.0
358,Abbigere,795.0,1.0,32.6,2.0
359,Abbigere,3000.0,8.0,150.0,8.0
360,Abbigere,985.0,2.0,38.92,2.0
361,Abbigere,1000.0,2.0,41.0,2.0
362,Abbigere,995.0,2.0,40.8,2.0
363,Abbigere,1020.0,2.0,40.8,2.0
364,Akshaya Nagar,1388.0,2.0,57.0,2.0
365,Akshaya Nagar,1070.0,2.0,54.0,2.0
367,Akshaya Nagar,1280.0,2.0,58.0,2.0
368,Akshaya Nagar,1662.0,3.0,85.1,3.0
369,Akshaya Nagar,1897.0,3.0,120.0,3.0
370,Akshaya Nagar,1410.0,2.0,75.0,3.0
371,Akshaya Nagar,1360.0,2.0,85.0,3.0
372,Akshaya Nagar,1476.0,3.0,120.0,3.0
374,Akshaya Nagar,1720.0,3.0,134.0,3.0
375,Akshaya Nagar,1410.0,2.0,80.0,3.0
376,Akshaya Nagar,1662.0,3.0,85.0,3.0
377,Akshaya Nagar,1662.0,3.0,85.5,3.0
378,Akshaya Nagar,1280.0,2.0,60.0,2.0
379,Akshaya Nagar,1666.0,3.0,95.0,3.0
380,Akshaya Nagar,1575.0,3.0,90.0,3.0
381,Akshaya Nagar,1430.0,2.0,75.0,3.0
382,Akshaya Nagar,1419.0,2.0,73.0,3.0
383,Akshaya Nagar,1280.0,2.0,60.0,2.0
384,Akshaya Nagar,1200.0,2.0,50.0,2.0
385,Akshaya Nagar,1092.0,2.0,60.0,2.0
386,Akshaya Nagar,1690.0,3.0,85.0,3.0
387,Akshaya Nagar,1700.0,3.0,80.0,3.0
388,Akshaya Nagar,1897.0,4.0,93.0,3.0
389,Akshaya Nagar,1884.0,3.0,98.0,3.0
390,Akshaya Nagar,2061.0,3.0,175.0,3.0
392,Akshaya Nagar,1314.0,2.0,68.8,2.0
393,Akshaya Nagar,1690.0,3.0,85.0,3.0
394,Akshaya Nagar,1265.0,2.0,67.0,2.0
395,Akshaya Nagar,1126.0,2.0,55.0,2.0
397,Akshaya Nagar,1662.0,3.0,90.0,3.0
398,Akshaya Nagar,1420.0,2.0,75.0,3.0
400,Akshaya Nagar,1412.0,2.0,88.0,3.0
401,Akshaya Nagar,1434.0,3.0,84.0,3.0
402,Akshaya Nagar,1890.0,4.0,100.0,3.0
403,Akshaya Nagar,2650.0,3.0,125.0,3.0
404,Akshaya Nagar,1419.0,2.0,87.0,3.0
405,Akshaya Nagar,1300.0,2.0,54.0,2.0
406,Akshaya Nagar,1690.0,3.0,85.0,3.0
407,Akshaya Nagar,1000.0,2.0,38.0,2.0
408,Akshaya Nagar,1113.0,2.0,52.0,2.0
409,Akshaya Nagar,1820.0,4.0,95.0,3.0
410,Akshaya Nagar,2061.0,4.0,175.0,3.0
411,Akshaya Nagar,1100.0,2.0,48.0,2.0
412,Akshaya Nagar,1896.0,3.0,102.0,3.0
413,Akshaya Nagar,1300.0,2.0,66.0,2.0
414,Akshaya Nagar,1225.0,2.0,68.0,2.0
415,Akshaya Nagar,1179.0,2.0,51.0,2.0
416,Akshaya Nagar,1421.0,2.0,73.0,3.0
417,Akshaya Nagar,1200.0,2.0,45.0,2.0
418,Akshaya Nagar,1893.0,4.0,95.0,3.0
419,Akshaya Nagar,900.0,2.0,45.0,2.0
420,Ambalipura,1105.0,2.0,75.0,2.0
421,Ambalipura,1800.0,3.0,110.0,3.0
422,Ambalipura,1150.0,2.0,80.0,2.0
423,Ambalipura,1250.0,2.0,66.25,2.0
424,Ambalipura,1332.0,2.0,79.0,2.0
425,Ambalipura,1730.0,3.0,120.0,3.0
426,Ambalipura,896.0,2.0,30.13,2.0
427,Ambalipura,3500.0,3.0,198.0,3.0
428,Ambalipura,1230.0,2.0,66.25,2.0
429,Ambalipura,1351.0,2.0,77.0,2.0
431,Ambalipura,3300.0,4.0,329.0,4.0
432,Ambalipura,950.0,2.0,31.95,2.0
433,Ambalipura,1625.0,2.0,145.0,3.0
434,Ambalipura,1817.0,3.0,102.0,3.0
436,Ambalipura,1303.0,2.0,80.0,2.0
437,Ambalipura,1607.0,2.0,112.0,3.0
438,Ambalipura,770.0,1.0,43.82,1.0
439,Ambalipura,860.0,2.0,28.93,2.0
440,Ambalipura,1700.0,2.0,76.0,2.0
441,Ambalipura,1060.0,2.0,58.5,2.0
442,Ambalipura,1650.0,3.0,100.0,3.0
443,Ambalipura,1607.0,2.0,112.0,3.0
444,Ambalipura,1198.0,2.0,80.0,2.0
445,Ambalipura,1615.0,2.0,150.0,3.0
446,Ambedkar Nagar,2900.0,3.0,300.0,4.0
447,Ambedkar Nagar,1935.0,4.0,130.0,3.0
448,Ambedkar Nagar,1424.0,2.0,90.0,2.0
449,Ambedkar Nagar,2225.0,4.0,169.0,3.0
450,Ambedkar Nagar,1862.0,3.0,120.0,3.0
451,Ambedkar Nagar,1850.0,4.0,139.0,3.0
452,Ambedkar Nagar,1936.0,4.0,126.0,3.0
453,Ambedkar Nagar,1862.0,3.0,119.0,3.0
454,Ambedkar Nagar,5530.0,5.0,627.0,5.0
455,Ambedkar Nagar,1424.0,2.0,90.0,2.0
456,Ambedkar Nagar,2150.0,4.0,125.0,3.0
457,Ambedkar Nagar,3530.0,4.0,290.0,4.0
458,Ambedkar Nagar,1856.0,3.0,120.0,3.0
459,Ambedkar Nagar,1852.0,3.0,130.0,3.0
460,Ambedkar Nagar,1850.0,4.0,120.0,3.0
461,Ambedkar Nagar,1367.0,2.0,86.0,2.0
462,Ambedkar Nagar,3565.0,4.0,255.0,4.0
463,Ambedkar Nagar,1409.0,2.0,95.0,2.0
464,Ambedkar Nagar,1950.0,4.0,120.0,3.0
465,Ambedkar Nagar,1921.0,4.0,129.0,3.0
466,Ambedkar Nagar,1920.0,4.0,121.0,3.0
467,Ambedkar Nagar,5000.0,4.0,536.0,4.0
468,Ambedkar Nagar,1935.0,4.0,125.0,3.0
469,Ambedkar Nagar,1852.0,4.0,122.0,3.0
470,Ambedkar Nagar,1950.0,4.0,120.0,3.0
471,Ambedkar Nagar,1852.0,3.0,125.0,3.0
472,Ambedkar Nagar,2900.0,3.0,297.0,3.0
473,Ambedkar Nagar,1850.0,4.0,121.0,3.0
474,Ambedkar Nagar,1425.0,2.0,94.0,2.0
475,Ambedkar Nagar,2395.0,4.0,150.0,3.0
476,Amruthahalli,900.0,2.0,40.0,2.0
477,Amruthahalli,1200.0,2.0,55.0,2.0
478,Amruthahalli,4400.0,3.0,475.0,2.0
479,Amruthahalli,1900.0,3.0,135.0,3.0
480,Amruthahalli,924.0,2.0,45.0,2.0
481,Amruthahalli,900.0,2.0,60.0,2.0
482,Amruthahalli,1100.0,2.0,45.0,2.0
483,Amruthahalli,1200.0,2.0,55.0,2.0
487,Amruthahalli,1450.0,2.0,85.0,3.0
488,Amruthahalli,1200.0,2.0,55.0,2.0
489,Amruthahalli,1250.0,2.0,79.0,2.0
490,Amruthahalli,1190.0,2.0,50.0,2.0
491,Amruthahalli,1202.0,2.0,65.0,2.0
492,Amruthahalli,1340.0,2.0,75.0,2.0
493,Amruthahalli,2650.0,4.0,175.0,3.0
494,Amruthahalli,1450.0,2.0,90.0,3.0
495,Amruthahalli,1025.0,2.0,42.0,2.0
496,Amruthahalli,485.0,1.0,19.5,1.0
497,Amruthahalli,600.0,1.0,55.0,1.0
498,Anandapura,1167.0,2.0,43.76,2.0
499,Anandapura,1000.0,2.0,55.0,2.0
500,Anandapura,1141.0,2.0,42.79,2.0
501,Anandapura,1475.0,2.0,50.0,4.0
503,Anandapura,1200.0,2.0,67.0,2.0
504,Anandapura,1200.0,2.0,58.0,2.0
505,Anandapura,1151.0,2.0,43.1,2.0
506,Anandapura,1141.0,2.0,42.75,2.0
507,Anandapura,900.0,2.0,48.0,2.0
508,Anandapura,1749.0,4.0,90.0,4.0
509,Anandapura,1151.0,2.0,42.9,2.0
511,Anandapura,1250.0,2.0,45.0,2.0
512,Anandapura,875.0,2.0,57.0,2.0
513,Anandapura,1151.0,2.0,43.16,2.0
514,Anandapura,1200.0,2.0,58.0,2.0
515,Anandapura,1200.0,2.0,66.0,3.0
516,Anandapura,1415.0,2.0,74.0,3.0
517,Anandapura,1200.0,2.0,50.0,2.0
518,Anandapura,1141.0,2.0,50.0,2.0
520,Ananth Nagar,500.0,1.0,14.0,1.0
521,Ananth Nagar,1100.0,2.0,31.5,2.0
522,Ananth Nagar,982.0,2.0,24.55,2.0
523,Ananth Nagar,500.0,2.0,14.0,1.0
524,Ananth Nagar,1109.0,2.0,60.0,2.0
525,Ananth Nagar,1200.0,2.0,65.0,3.0
526,Ananth Nagar,900.0,2.0,22.5,2.0
527,Ananth Nagar,908.0,2.0,26.0,2.0
528,Ananth Nagar,870.0,2.0,36.0,2.0
529,Ananth Nagar,937.0,2.0,35.0,2.0
530,Ananth Nagar,960.0,2.0,37.0,2.0
531,Ananth Nagar,500.0,1.0,14.0,1.0
532,Ananth Nagar,1000.0,2.0,29.7,2.0
533,Ananth Nagar,850.0,2.0,25.99,2.0
534,Ananth Nagar,902.0,2.0,25.26,2.0
535,Ananth Nagar,1470.0,3.0,54.0,3.0
536,Ananth Nagar,810.0,2.0,25.5,2.0
537,Ananth Nagar,890.0,2.0,27.0,2.0
538,Ananth Nagar,1200.0,2.0,36.0,2.0
540,Ananth Nagar,1319.0,3.0,42.0,3.0
541,Ananth Nagar,1000.0,2.0,25.0,2.0
542,Ananth Nagar,902.0,2.0,25.0,2.0
543,Ananth Nagar,930.0,2.0,25.99,2.0
544,Ananth Nagar,1074.0,2.0,26.85,2.0
545,Ananth Nagar,500.0,1.0,14.0,1.0
